	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
40	3,806e+004	1,086e+005	304,2	530,3	226,1	240,2	460,7	157,5	4,515	79,67	153,0	153,4	6,471	357,1	60,17	0,5044	5,996e+005	1,099e+004	-9289	5598	-7752	4,987	108,8	505,5	229,7	11,96
41	4,386e+004	1,191e+005	331,6	481,9	150,4	157,1	449,7	160,3	7,976	82,59	152,3	150,7	7,976	359,3	71,09	0,4544	3,900e+005	1,116e+004	-9440	9292	-7995	8,605	107,9	466,4	150,4	12,99
42	4,174e+004	1,207e+005	333,9	502,1	168,3	172,8	444,1	161,7	6,649	83,93	155,1	153,3	10,38	361,4	69,35	0,4592	5,243e+005	1,150e+004	-8715	8682	-7600	6,895	111,2	481,4	169,5	13,49
43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	3,409e+004	9,624e+004	269,5	488,8	219,3	227,0	434,7	159,1	5,329	80,03	153,8	154,2	7,340	357,1	57,69	0,5723	5,522e+005	1,103e+004	-9474	4813	-5920	6,129	105,0	467,1	219,4	12,15
45	3,972e+004	1,120e+005	309,8	456,0	146,3	153,4	416,3	160,9	8,243	82,81	152,6	152,6	8,571	361,4	71,36	0,4927	4,437e+005	1,113e+004	-9467	9704	-7187	8,544	106,2	434,1	146,3	13,06
46	3,499e+004	1,030e+005	286,6	490,0	203,4	208,3	425,2	160,6	4,864	81,98	155,7	156,1	10,02	359,3	60,29	0,5446	4,993e+005	1,144e+004	-8934	4704	-6350	5,226	115,1	475,5	205,4	12,67
47	3,560e+004	9,948e+004	276,9	502,6	225,7	236,0	443,5	160,1	4,268	80,96	155,8	154,4	6,799	359,3	57,14	0,5575	4,975e+005	1,120e+004	-9317	5794	-6806	4,829	106,3	484,6	226,2	11,96
48	4,389e+004	1,214e+005	337,9	493,1	155,2	165,2	454,2	162,1	6,642	83,14	155,4	153,8	6,642	359,3	72,66	0,4551	5,060e+005	1,113e+004	-9358	9951	-7660	8,722	99,27	465,0	155,3	13,17
49	4,084e+004	1,162e+005	321,5	492,4	170,9	176,7	436,8	164,3	8,448	86,22	155,8	155,6	10,47	361,4	68,17	0,4840	5,274e+005	1,164e+004	-8783	8482	-7028	8,975	109,2	471,6	171,5	13,82
50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	3,891e+004	1,154e+005	323,0	494,7	171,8	181,2	428,3	155,5	6,007	78,60	149,5	148,6	8,217	357,5	69,28	0,4624	6,056e+005	1,107e+004	-9344	7153	-7689	14,20	105,2	467,3	173,6	12,45
Min	3,409e+004	9,624e+004	269,5	456,0	130,5	137,8	392,7	150,1	3,694	73,38	143,1	141,6	6,156	352,9	57,14	0,3896	3,900e+005	1,068e+004	-9754	4704	-8621	4,501	95,86	433,8	130,6	11,45
Max	4,389e+004	1,294e+005	364,5	547,4	226,1	240,2	461,0	164,3	8,448	86,22	155,8	156,1	10,87	361,4	77,64	0,5723	8,353e+005	1,164e+004	-8715	9951	-5920	108,7	115,1	514,0	229,7	13,82
Count	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
